Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
01/12/2014 07:00:00 AM,1,1
01/09/2019 05:00:00 PM,106,290
01/09/2019 06:00:00 PM,65,210
01/09/2019 07:00:00 PM,32,61
01/09/2019 08:00:00 PM,18,36
01/09/2019 09:00:00 PM,8,17
01/09/2019 10:00:00 PM,1,11
01/09/2019 11:00:00 PM,3,3
01/10/2019 12:00:00 AM,1,2
01/10/2019 01:00:00 AM,0,0
01/10/2019 02:00:00 AM,2,3
01/10/2019 03:00:00 AM,0,1
01/10/2019 04:00:00 AM,6,6
01/10/2019 05:00:00 AM,16,17
01/12/2016 09:00:00 PM,10,10
01/10/2019 06:00:00 AM,61,42
01/10/2019 07:00:00 AM,139,131
01/10/2019 08:00:00 AM,210,248
01/10/2019 09:00:00 AM,112,112
01/10/2019 10:00:00 AM,39,50
01/10/2019 11:00:00 AM,25,38
01/10/2019 12:00:00 PM,29,18
01/10/2019 01:00:00 PM,33,24
01/10/2019 02:00:00 PM,31,32
01/10/2019 03:00:00 PM,46,68
01/10/2019 04:00:00 PM,71,172
01/10/2019 05:00:00 PM,118,371
01/10/2019 06:00:00 PM,78,232
01/10/2019 07:00:00 PM,42,102
01/10/2019 08:00:00 PM,19,51
01/06/2017 02:00:00 AM,0,0
01/10/2019 09:00:00 PM,15,32
06/19/2016 04:00:00 AM,1,1
01/10/2019 10:00:00 PM,12,18
01/25/2017 03:00:00 AM,0,0
01/10/2019 11:00:00 PM,12,11
01/11/2019 12:00:00 AM,15,4
01/11/2019 01:00:00 AM,4,1
01/11/2019 02:00:00 AM,0,2
01/11/2019 03:00:00 AM,1,1
01/11/2019 04:00:00 AM,5,5
01/11/2019 05:00:00 AM,9,12
01/11/2019 06:00:00 AM,62,44
01/07/2017 04:00:00 AM,0,0
01/11/2019 07:00:00 AM,123,132
01/11/2019 08:00:00 AM,213,259
01/11/2019 09:00:00 AM,111,136
01/11/2019 10:00:00 AM,56,45
01/11/2019 11:00:00 AM,31,35
05/18/2013 01:00:00 AM,7,7
01/11/2019 12:00:00 PM,36,44
01/11/2019 01:00:00 PM,48,41
01/11/2019 02:00:00 PM,36,57
01/11/2019 03:00:00 PM,55,102
04/30/2017 03:00:00 AM,1,1
01/11/2019 04:00:00 PM,83,241
01/11/2019 05:00:00 PM,90,378
01/11/2019 06:00:00 PM,69,178
02/09/2014 02:00:00 AM,2,2
01/11/2019 07:00:00 PM,26,74
01/11/2019 08:00:00 PM,23,48
01/11/2019 09:00:00 PM,14,27
01/11/2019 10:00:00 PM,13,16
01/11/2019 11:00:00 PM,6,7
01/10/2017 03:00:00 AM,0,0
01/12/2019 12:00:00 AM,5,7
01/12/2019 01:00:00 AM,2,9
01/12/2019 02:00:00 AM,2,5
01/12/2019 03:00:00 AM,0,3
01/12/2019 04:00:00 AM,1,3
01/12/2019 05:00:00 AM,1,4
01/12/2019 06:00:00 AM,7,10
01/12/2019 07:00:00 AM,12,17
01/12/2019 08:00:00 AM,31,39
01/12/2019 09:00:00 AM,52,41
01/07/2017 03:00:00 AM,0,0
01/12/2019 10:00:00 AM,56,47
01/12/2019 11:00:00 AM,50,66
01/12/2019 12:00:00 PM,90,107
01/20/2017 02:00:00 AM,0,0
01/12/2019 01:00:00 PM,98,78
01/12/2019 02:00:00 PM,122,103
01/12/2019 03:00:00 PM,101,103
11/29/2015 12:00:00 AM,2,2
01/12/2019 04:00:00 PM,80,77
01/12/2019 05:00:00 PM,48,48
01/12/2019 06:00:00 PM,15,30
01/12/2019 07:00:00 PM,14,14
01/12/2019 08:00:00 PM,11,3
01/12/2019 09:00:00 PM,7,14
01/12/2019 10:00:00 PM,8,9
01/12/2019 11:00:00 PM,15,6
01/13/2019 12:00:00 AM,8,2
11/08/2015 02:00:00 AM,0,0
01/13/2019 01:00:00 AM,1,3
01/13/2019 02:00:00 AM,1,3
01/13/2019 03:00:00 AM,0,1
01/13/2019 04:00:00 AM,0,2
01/13/2019 05:00:00 AM,3,2
01/13/2019 06:00:00 AM,1,7
01/13/2019 07:00:00 AM,8,10
01/13/2019 08:00:00 AM,22,23
01/13/2019 09:00:00 AM,32,27
01/13/2019 10:00:00 AM,36,41
01/13/2019 11:00:00 AM,71,58
01/13/2019 12:00:00 PM,101,93
01/13/2019 01:00:00 PM,102,94
01/13/2019 02:00:00 PM,148,89
01/13/2019 03:00:00 PM,123,118
01/13/2019 04:00:00 PM,64,90
01/13/2019 05:00:00 PM,45,34
01/13/2019 06:00:00 PM,16,25
01/13/2019 07:00:00 PM,13,11
01/13/2019 08:00:00 PM,13,4
01/13/2019 09:00:00 PM,7,6
01/13/2019 10:00:00 PM,2,4
01/13/2019 11:00:00 PM,5,4
01/14/2019 12:00:00 AM,0,5
01/14/2019 01:00:00 AM,0,3
01/14/2019 02:00:00 AM,0,0
01/14/2019 03:00:00 AM,0,0
01/14/2019 04:00:00 AM,4,3
01/14/2019 05:00:00 AM,24,19
01/14/2019 06:00:00 AM,83,67
01/18/2016 04:00:00 AM,2,2
01/14/2019 07:00:00 AM,217,191
01/14/2019 08:00:00 AM,312,332
01/14/2019 09:00:00 AM,155,171
01/14/2019 10:00:00 AM,57,66
01/14/2019 11:00:00 AM,32,36
01/14/2019 12:00:00 PM,43,43
01/14/2019 01:00:00 PM,51,42
01/14/2019 02:00:00 PM,58,66
01/14/2019 03:00:00 PM,77,119
01/14/2019 04:00:00 PM,110,322
01/14/2019 05:00:00 PM,128,509
01/14/2019 06:00:00 PM,72,309
01/14/2019 07:00:00 PM,41,103
01/14/2019 08:00:00 PM,15,37
01/14/2019 09:00:00 PM,17,28
01/14/2019 10:00:00 PM,4,9
01/14/2019 11:00:00 PM,2,5
01/15/2019 12:00:00 AM,2,0
01/15/2019 01:00:00 AM,0,0
01/15/2019 02:00:00 AM,0,1
01/15/2019 03:00:00 AM,2,0
01/15/2019 04:00:00 AM,2,4
01/15/2019 05:00:00 AM,20,15
01/15/2019 06:00:00 AM,65,60
01/15/2019 07:00:00 AM,194,157
01/15/2019 08:00:00 AM,268,274
12/19/2012 04:00:00 AM,3,3
01/15/2019 09:00:00 AM,118,141
01/15/2019 10:00:00 AM,49,61
01/15/2019 11:00:00 AM,37,30
01/15/2019 12:00:00 PM,42,38
01/15/2019 01:00:00 PM,40,47
01/15/2019 02:00:00 PM,40,49
01/15/2019 03:00:00 PM,47,89
01/15/2019 04:00:00 PM,80,224
01/15/2019 05:00:00 PM,102,439
01/31/2017 02:00:00 AM,0,0
01/15/2019 06:00:00 PM,78,293
01/15/2019 07:00:00 PM,44,88
01/15/2019 08:00:00 PM,19,46
01/15/2019 09:00:00 PM,24,26
01/15/2019 10:00:00 PM,5,15
01/15/2019 11:00:00 PM,0,8
01/16/2019 12:00:00 AM,0,5
01/16/2019 01:00:00 AM,0,0
01/16/2019 02:00:00 AM,1,1
01/16/2019 03:00:00 AM,1,1
08/04/2016 11:00:00 AM,53,53
01/16/2019 04:00:00 AM,7,2
01/16/2019 05:00:00 AM,18,17
01/16/2019 06:00:00 AM,72,57
01/16/2019 07:00:00 AM,169,168
01/16/2019 08:00:00 AM,259,261
12/12/2014 03:00:00 AM,1,1
01/16/2019 09:00:00 AM,100,135
01/16/2019 10:00:00 AM,47,55
01/16/2019 11:00:00 AM,34,34
01/16/2019 12:00:00 PM,36,37
01/16/2019 01:00:00 PM,37,53
01/16/2019 02:00:00 PM,36,44
01/16/2019 03:00:00 PM,64,84
01/16/2019 04:00:00 PM,79,217
01/19/2017 03:00:00 AM,0,0
01/16/2019 05:00:00 PM,111,479
01/16/2019 06:00:00 PM,84,236
01/16/2019 07:00:00 PM,56,95
01/16/2019 08:00:00 PM,32,41
01/16/2019 09:00:00 PM,21,36
01/16/2019 10:00:00 PM,11,18
01/16/2019 11:00:00 PM,2,7
01/17/2019 12:00:00 AM,1,2
01/17/2019 01:00:00 AM,0,0
01/17/2019 02:00:00 AM,0,1
01/17/2019 03:00:00 AM,2,3
01/17/2019 04:00:00 AM,3,2
01/17/2019 05:00:00 AM,21,13
01/17/2019 06:00:00 AM,63,46
01/17/2019 07:00:00 AM,130,136
11/28/2016 11:00:00 AM,31,31
01/17/2019 08:00:00 AM,197,226
01/17/2019 09:00:00 AM,103,120
01/17/2019 10:00:00 AM,37,44
01/17/2019 11:00:00 AM,22,31
01/17/2019 12:00:00 PM,23,33
10/20/2014 01:00:00 AM,4,4
01/17/2019 01:00:00 PM,26,23
01/17/2019 02:00:00 PM,29,34
01/17/2019 03:00:00 PM,27,67
01/17/2019 04:00:00 PM,66,176
01/17/2019 05:00:00 PM,103,320
01/17/2019 06:00:00 PM,62,228
01/17/2019 07:00:00 PM,35,87
01/17/2019 08:00:00 PM,25,37
01/17/2019 09:00:00 PM,13,28
01/17/2019 10:00:00 PM,8,21
01/17/2019 11:00:00 PM,2,8
01/18/2019 12:00:00 AM,2,3
01/18/2019 01:00:00 AM,1,1
01/18/2019 02:00:00 AM,1,0
01/18/2019 03:00:00 AM,1,1
01/18/2019 04:00:00 AM,3,3
01/18/2019 05:00:00 AM,15,12
05/26/2014 08:00:00 PM,42,42
01/18/2019 06:00:00 AM,54,30
01/18/2019 07:00:00 AM,122,131
01/18/2019 08:00:00 AM,194,209
01/18/2019 09:00:00 AM,87,111
01/18/2019 10:00:00 AM,35,50
09/07/2016 12:00:00 AM,5,5
01/18/2019 11:00:00 AM,34,25
01/18/2019 12:00:00 PM,34,38
01/18/2019 01:00:00 PM,32,37
01/18/2019 02:00:00 PM,33,44
01/18/2019 03:00:00 PM,41,88
01/18/2019 04:00:00 PM,62,175
01/18/2019 05:00:00 PM,78,323
01/18/2019 06:00:00 PM,38,155
01/18/2019 07:00:00 PM,19,54
01/18/2019 08:00:00 PM,10,23
01/18/2019 09:00:00 PM,9,15
01/18/2019 10:00:00 PM,4,13
01/18/2019 11:00:00 PM,4,10
01/19/2019 12:00:00 AM,2,4
01/19/2019 01:00:00 AM,1,4
01/19/2019 02:00:00 AM,1,0
01/19/2019 03:00:00 AM,0,1
01/19/2019 04:00:00 AM,1,2
01/19/2019 05:00:00 AM,2,4
01/19/2019 06:00:00 AM,6,5
01/19/2019 07:00:00 AM,8,15
01/19/2019 08:00:00 AM,21,31
01/19/2019 09:00:00 AM,29,26
01/19/2019 10:00:00 AM,40,42
01/08/2017 04:00:00 AM,0,0
01/19/2019 11:00:00 AM,48,46
01/19/2019 12:00:00 PM,47,54
01/19/2019 01:00:00 PM,52,63
01/19/2019 02:00:00 PM,44,45
01/19/2019 03:00:00 PM,43,49
01/19/2019 04:00:00 PM,36,47
01/19/2019 05:00:00 PM,34,27
01/19/2019 06:00:00 PM,9,13
01/19/2019 07:00:00 PM,9,12
01/19/2019 08:00:00 PM,6,15
01/19/2019 09:00:00 PM,3,9
01/19/2019 10:00:00 PM,5,4
01/19/2019 11:00:00 PM,7,4
01/20/2019 12:00:00 AM,1,6
01/20/2019 01:00:00 AM,4,3
01/20/2019 02:00:00 AM,2,1
01/20/2019 03:00:00 AM,2,0
01/20/2019 04:00:00 AM,0,2
01/20/2019 05:00:00 AM,1,0
01/20/2019 06:00:00 AM,3,6
01/20/2019 07:00:00 AM,8,7
01/20/2019 08:00:00 AM,18,25
01/20/2019 09:00:00 AM,23,34
01/20/2019 10:00:00 AM,48,17
01/11/2017 02:00:00 AM,0,0
01/20/2019 11:00:00 AM,36,27
01/20/2019 12:00:00 PM,40,56
01/20/2019 01:00:00 PM,35,39
01/20/2019 02:00:00 PM,52,44
01/20/2019 03:00:00 PM,45,45
01/20/2019 04:00:00 PM,32,27
01/20/2019 05:00:00 PM,27,19
01/20/2019 06:00:00 PM,13,13
01/20/2019 07:00:00 PM,8,12
01/20/2019 08:00:00 PM,3,12
01/20/2019 09:00:00 PM,8,7
01/20/2019 10:00:00 PM,4,5
01/20/2019 11:00:00 PM,4,5
01/21/2019 12:00:00 AM,0,1
01/21/2019 01:00:00 AM,1,0
09/09/2013 12:00:00 AM,7,7
01/01/2016 07:00:00 PM,6,6
01/21/2019 02:00:00 AM,1,0
01/16/2017 03:00:00 AM,0,0
01/21/2019 03:00:00 AM,0,0
01/21/2019 04:00:00 AM,4,2
01/21/2019 05:00:00 AM,9,7
01/21/2019 06:00:00 AM,37,30
01/18/2017 02:00:00 AM,0,0
01/21/2019 07:00:00 AM,72,74
01/21/2019 08:00:00 AM,131,132
01/21/2019 09:00:00 AM,68,71
01/21/2019 10:00:00 AM,38,47
01/21/2019 11:00:00 AM,43,36
01/21/2019 12:00:00 PM,45,56
01/21/2019 01:00:00 PM,53,47
01/21/2019 02:00:00 PM,40,52
01/21/2019 03:00:00 PM,50,78
01/21/2019 04:00:00 PM,70,147
01/21/2019 05:00:00 PM,51,225
01/21/2019 06:00:00 PM,38,141
01/21/2019 07:00:00 PM,14,49
01/21/2019 08:00:00 PM,17,16
01/21/2019 09:00:00 PM,8,16
01/21/2019 10:00:00 PM,9,12
01/03/2017 03:00:00 AM,0,0
01/21/2019 11:00:00 PM,1,2
01/22/2019 12:00:00 AM,2,1
01/22/2019 01:00:00 AM,3,1
01/22/2019 02:00:00 AM,1,0
01/22/2019 03:00:00 AM,0,0
01/22/2019 04:00:00 AM,5,4
01/22/2019 05:00:00 AM,22,18
01/22/2019 06:00:00 AM,58,47
01/22/2019 07:00:00 AM,156,150
01/22/2019 08:00:00 AM,211,236
01/22/2019 09:00:00 AM,98,146
11/08/2015 04:00:00 AM,0,0
01/22/2019 10:00:00 AM,43,45
01/22/2019 11:00:00 AM,32,26
07/05/2013 11:00:00 PM,18,18
01/22/2019 12:00:00 PM,22,28
01/22/2019 01:00:00 PM,24,17
01/22/2019 02:00:00 PM,23,37
01/22/2019 03:00:00 PM,28,71
01/22/2019 04:00:00 PM,42,161
01/22/2019 05:00:00 PM,86,340
01/22/2019 06:00:00 PM,62,249
01/22/2019 07:00:00 PM,29,67
01/22/2019 08:00:00 PM,18,28
01/22/2019 09:00:00 PM,15,19
01/22/2019 10:00:00 PM,1,12
01/22/2019 11:00:00 PM,2,5
01/23/2019 12:00:00 AM,0,1
01/23/2019 01:00:00 AM,2,4
01/23/2019 02:00:00 AM,0,1
01/23/2019 03:00:00 AM,0,1
01/23/2019 04:00:00 AM,5,4
01/23/2019 05:00:00 AM,23,20
01/23/2019 06:00:00 AM,67,39
01/23/2019 07:00:00 AM,142,131
01/23/2019 08:00:00 AM,175,218
01/23/2019 09:00:00 AM,75,117
01/23/2019 10:00:00 AM,32,57
01/23/2019 11:00:00 AM,26,22
01/23/2019 12:00:00 PM,14,29
01/23/2019 01:00:00 PM,29,19
01/23/2019 02:00:00 PM,33,26
01/23/2019 03:00:00 PM,52,66
01/23/2019 04:00:00 PM,81,207
01/23/2019 05:00:00 PM,107,362
01/23/2019 06:00:00 PM,78,227
01/23/2019 07:00:00 PM,34,96
01/23/2019 08:00:00 PM,24,49
01/23/2019 09:00:00 PM,17,22
01/23/2019 10:00:00 PM,10,21
01/23/2019 11:00:00 PM,4,12
01/24/2019 12:00:00 AM,2,7
11/10/2015 01:00:00 AM,0,0
01/24/2019 01:00:00 AM,0,1
01/24/2019 02:00:00 AM,0,0
01/24/2019 03:00:00 AM,2,1
01/24/2019 04:00:00 AM,5,3
01/24/2019 05:00:00 AM,25,15
01/24/2019 06:00:00 AM,64,56
01/24/2019 07:00:00 AM,181,149
01/24/2019 08:00:00 AM,236,246
01/24/2019 09:00:00 AM,90,138
01/24/2019 10:00:00 AM,51,54
01/24/2019 11:00:00 AM,33,41
01/24/2019 12:00:00 PM,27,41
01/24/2019 01:00:00 PM,28,30
01/24/2019 02:00:00 PM,38,40
01/24/2019 03:00:00 PM,53,90
01/24/2019 04:00:00 PM,82,211
01/24/2019 05:00:00 PM,111,347
01/24/2019 06:00:00 PM,74,282
01/24/2019 07:00:00 PM,42,92
01/24/2019 08:00:00 PM,22,55
01/24/2019 09:00:00 PM,18,26
01/24/2019 10:00:00 PM,10,19
01/24/2019 11:00:00 PM,5,1
01/25/2019 12:00:00 AM,2,3
01/25/2019 01:00:00 AM,3,4
01/25/2019 02:00:00 AM,3,1
01/25/2019 03:00:00 AM,0,0
01/25/2019 04:00:00 AM,8,6
01/25/2019 05:00:00 AM,23,18
01/25/2019 06:00:00 AM,52,46
01/25/2019 07:00:00 AM,142,138
01/25/2019 08:00:00 AM,226,238
01/25/2019 09:00:00 AM,106,116
01/25/2019 10:00:00 AM,51,66
11/28/2016 10:00:00 AM,44,44
01/25/2019 11:00:00 AM,42,39
01/25/2019 12:00:00 PM,38,53
01/25/2019 01:00:00 PM,39,49
01/25/2019 02:00:00 PM,54,58
01/25/2019 03:00:00 PM,44,110
01/25/2019 04:00:00 PM,82,226
01/25/2019 05:00:00 PM,120,373
01/25/2019 06:00:00 PM,70,178
01/25/2019 07:00:00 PM,32,78
03/14/2015 05:00:00 AM,1,1
01/25/2019 08:00:00 PM,14,40
01/25/2019 09:00:00 PM,5,25
01/25/2019 10:00:00 PM,17,19
01/25/2019 11:00:00 PM,9,11
01/26/2019 12:00:00 AM,6,7
01/26/2019 01:00:00 AM,2,4
01/26/2019 02:00:00 AM,0,3
01/26/2019 03:00:00 AM,1,5
01/26/2019 04:00:00 AM,1,2
01/14/2017 04:00:00 AM,0,0
01/26/2019 05:00:00 AM,0,2
01/22/2017 04:00:00 AM,0,0
01/26/2019 06:00:00 AM,9,4
01/26/2019 07:00:00 AM,8,15
01/26/2019 08:00:00 AM,36,33
01/26/2019 09:00:00 AM,36,35
01/26/2019 10:00:00 AM,59,66
01/26/2019 11:00:00 AM,69,71
01/26/2019 12:00:00 PM,53,86
01/26/2019 01:00:00 PM,100,93
01/10/2017 01:00:00 AM,0,0
01/26/2019 02:00:00 PM,90,70
04/05/2015 10:00:00 PM,8,8
01/26/2019 03:00:00 PM,117,75
01/26/2019 04:00:00 PM,78,88
01/26/2019 05:00:00 PM,47,29
01/26/2019 06:00:00 PM,16,25
01/26/2019 07:00:00 PM,12,13
01/26/2019 08:00:00 PM,8,8
